student	question	course_page_number	unit_page_number	module_page_number	page_question_number	question_type	answered	correct	persisted
5f48174400b3a42fe2c6e6a5	5f2e4ea5e3a4d9432b13fd99	10	8	7	3	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4ea5e3a4d9432b13fe35	10	8	7	5	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4ea5e3a4d9432b13feb1	10	8	7	7	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4ea6e3a4d9432b1400c3	10	8	7	16	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4ea6e3a4d9432b1400fd	10	8	7	17	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e34e3a4d9432b130337	5	3	2	6	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e75e3a4d9432b139386	29	27	7	0	AG_FITB	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e6ce3a4d9432b137fc4	29	27	7	2	HA_Pulldown	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e6ce3a4d9432b13800a	29	27	7	4	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e6ce3a4d9432b138072	29	27	7	6	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e6ce3a4d9432b1380c0	29	27	7	7	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e6ce3a4d9432b138102	29	27	7	8	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e6ce3a4d9432b138130	29	27	7	9	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e31e3a4d9432b12fdaa	9	7	6	8	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e32e3a4d9432b12fec2	9	7	6	12	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e67e3a4d9432b13752b	43	41	3	5	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e68e3a4d9432b13762f	43	41	3	9	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e68e3a4d9432b13767d	43	41	3	10	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e68e3a4d9432b1376cb	43	41	3	11	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e69e3a4d9432b1378c6	43	41	3	18	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e69e3a4d9432b137962	43	41	3	20	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e69e3a4d9432b1379d2	43	41	3	22	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e5be3a4d9432b135a7d	31	29	9	19	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e40e3a4d9432b131d98	76	74	4	7	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e40e3a4d9432b131dd2	76	74	4	8	HA_MC	1	0	1
5f48174400b3a42fe2c6e6a5	5f2e4e40e3a4d9432b131e4e	76	74	4	10	HA_MC	1	0	1
5f4bab92e16a3a18cfa79628	5f2e4e60e3a4d9432b1364b5	15	13	2	0	AG_Matching	1	0	1
5f4bab92e16a3a18cfa79628	5f2e4e60e3a4d9432b1364dd	15	13	2	2	AG_Matching	1	0	1
5f4bab92e16a3a18cfa79628	5f2e4e2de3a4d9432b12f42e	15	13	2	3	HA_MC	1	0	1
5f4bab92e16a3a18cfa79628	5f2e4e2de3a4d9432b12f4be	15	13	2	5	HA_MC	1	0	1
5f4bab92e16a3a18cfa79628	5f2e4e55e3a4d9432b134bab	26	24	4	0	AG_FITB	1	0	1
5f4bab92e16a3a18cfa79628	5f2e4e6fe3a4d9432b13875a	26	24	4	6	HA_MC	1	0	1
5f4bab92e16a3a18cfa79628	5f2e4e6fe3a4d9432b13879c	26	24	4	7	HA_MC	1	0	1
5f4bab92e16a3a18cfa79628	5f2e4e6fe3a4d9432b1387d6	26	24	4	8	HA_MC	1	0	1
5f4bab92e16a3a18cfa79628	5f2e4e35e3a4d9432b1304a5	24	22	2	1	HA_MC	1	0	1
5f4bab92e16a3a18cfa79628	5f2e4e35e3a4d9432b130521	24	22	2	3	HA_MC	1	0	1
5f4bab92e16a3a18cfa79628	5f2e4e36e3a4d9432b130613	24	22	2	7	HA_MCMS	1	0	1
5f4bab92e16a3a18cfa79628	5f2e4e9fe3a4d9432b13efaa	6	4	3	3	HA_MC	1	0	1
5f4bab92e16a3a18cfa79628	5f2e4e9fe3a4d9432b13efec	6	4	3	4	HA_MC	1	0	1
5f4bab92e16a3a18cfa79628	5f2e4e9fe3a4d9432b13f026	6	4	3	5	HA_MC	1	0	1
5f4bab92e16a3a18cfa79628	5f2e4e9fe3a4d9432b13f068	6	4	3	6	HA_MC	1	0	1
5f4bab92e16a3a18cfa79628	5f2e4e9fe3a4d9432b13f0e4	6	4	3	8	HA_MC	1	0	1
5f4bab92e16a3a18cfa79628	5f2e4e8ce3a4d9432b13c56f	25	23	3	0	AG_Matching	1	0	1
5f4bab92e16a3a18cfa79628	5f2e4e8ce3a4d9432b13c597	25	23	3	2	AG_Matching	1	0	1
5f4bab92e16a3a18cfa79628	5f2e4e8de3a4d9432b13c63d	25	23	3	8	AG_Matching	1	0	1
5f4bab92e16a3a18cfa79628	5f2e4e8de3a4d9432b13c651	25	23	3	9	AG_Matching	1	0	1
5f4bab92e16a3a18cfa79628	5f2e4ea5e3a4d9432b13fd99	10	8	7	3	HA_MC	1	0	1
5f4bab92e16a3a18cfa79628	5f2e4e87e3a4d9432b13ba18	5	3	2	1	AG_Matching	1	0	1
5f4bab92e16a3a18cfa79628	5f2e4e87e3a4d9432b13ba2c	5	3	2	2	AG_Matching	1	0	1
5f4bab92e16a3a18cfa79628	5f2e4e34e3a4d9432b130337	5	3	2	6	HA_MC	1	0	1
5f4bab92e16a3a18cfa79628	5f2e4e35e3a4d9432b130385	5	3	2	7	HA_MC	1	0	1
5f4bab92e16a3a18cfa79628	5f2e4e6ce3a4d9432b138072	29	27	7	6	HA_MC	1	0	1
5f4d2fcf00000964acae4832	5f2e4e2de3a4d9432b12f47c	15	13	2	4	HA_MC	1	0	1
5f4d2fcf00000964acae4832	5f2e4e2de3a4d9432b12f4be	15	13	2	5	HA_MC	1	0	1
5f4d2fcf00000964acae4832	5f2e4e2ee3a4d9432b12f526	15	13	2	7	HA_MC	1	0	1
5f4d2fcf00000964acae4832	5f2e4e2ee3a4d9432b12f65e	15	13	2	11	HA_MC	1	0	1
5f4d2fcf00000964acae4832	5f2e4e2fe3a4d9432b12f776	15	13	2	15	HA_MC	1	0	1
5f4d2fcf00000964acae4832	5f2e4e2fe3a4d9432b12f7c4	15	13	2	16	HA_MC	1	0	1
5f4d2fcf00000964acae4832	5f2e4e55e3a4d9432b134c1f	26	24	4	4	AG_FITB	1	0	0
5f4d2fcf00000964acae4832	5f2e4e6fe3a4d9432b13879c	26	24	4	7	HA_MC	1	0	1
5f4d2fcf00000964acae4832	5f2e4e6fe3a4d9432b1387d6	26	24	4	8	HA_MC	1	0	1
5f4d2fcf00000964acae4832	5f2e4e70e3a4d9432b138898	26	24	4	11	HA_Pulldown	1	0	1
5f4d2fcf00000964acae4832	5f2e4e70e3a4d9432b1388fe	26	24	4	13	HA_MC	1	0	1
5f4d2fcf00000964acae4832	5f2e4e53e3a4d9432b1348d9	37	35	3	0	AG_FITB	1	0	1
5f4d2fcf00000964acae4832	5f2e4e54e3a4d9432b1348fb	37	35	3	1	AG_FITB	1	0	1
5f4d2fcf00000964acae4832	5f2e4e54e3a4d9432b134985	37	35	3	6	AG_FITB	1	0	1
5f4d2fcf00000964acae4832	5f2e4e54e3a4d9432b1349a7	37	35	3	7	AG_FITB	1	0	1
5f4d2fcf00000964acae4832	5f2e4e79e3a4d9432b139d64	37	35	3	9	HA_MC	1	0	1
5f4d2fcf00000964acae4832	5f2e4e6be3a4d9432b137df6	61	59	3	6	AG_FITB	1	0	1
5f4d2fcf00000964acae4832	5f2e4ea4e3a4d9432b13fcf5	61	59	3	8	HA_MC	1	0	1
5f4d2fcf00000964acae4832	5f2e4ea4e3a4d9432b13fd43	61	59	3	9	HA_MC	1	0	1
5f4d2fcf00000964acae4832	5f2e4e3ee3a4d9432b13180c	78	76	6	3	HA_MCMS	1	0	1
5f4d2fcf00000964acae4832	5f2e4e66e3a4d9432b1372a5	78	76	6	1	AG_Matching	1	0	1
5f4d2fcf00000964acae4832	5f2e4e66e3a4d9432b1372b9	78	76	6	2	AG_Matching	1	0	1
5f4d2fcf00000964acae4832	5f2e4e7ae3a4d9432b13a016	35	33	1	3	HA_MC	1	0	1
5f4d2fcf00000964acae4832	5f2e4e7ae3a4d9432b13a0d4	35	33	1	6	HA_MC	1	0	1
5f4d2fcf00000964acae4832	5f2e4e7be3a4d9432b13a150	35	33	1	8	HA_MC	1	0	1
5f4d2fcf00000964acae4832	5f3cce43807e2b6ad4d2ab42	60	58	2	0	HA_Pulldown	1	0	1
5f4d2fcf00000964acae4832	5f3cce43807e2b6ad4d2ac00	60	58	2	3	HA_MC	1	0	1
5f4d2fcf00000964acae4832	5f3cce43807e2b6ad4d2ac4e	60	58	2	4	HA_MC	1	0	1
5f4d2fcf00000964acae4832	5f3cce43807e2b6ad4d2ac9c	60	58	2	5	HA_MC	1	0	1
5f4d2fcf00000964acae4832	5f3cce44807e2b6ad4d2ad80	60	58	2	10	AG_FITB	1	0	1
5f4d2fcf00000964acae4832	5f3cce44807e2b6ad4d2ada6	60	58	2	11	AG_Matching	1	0	1
5f4d2fcf00000964acae4832	5f3cce44807e2b6ad4d2adce	60	58	2	13	AG_Matching	1	0	1
5f4d2fcf00000964acae4832	5f2e4e26e3a4d9432b12e446	59	57	1	0	AG_Matching	1	0	1
5f4d2fcf00000964acae4832	5f2e4e26e3a4d9432b12e46e	59	57	1	2	AG_Matching	1	0	1
5f4d2fcf00000964acae4832	5f2e4e8be3a4d9432b13c2db	59	57	1	5	HA_MC	1	0	1
5f4d2fcf00000964acae4832	5f2e4e8be3a4d9432b13c34b	59	57	1	7	HA_MC	1	0	1
5f4d2fcf00000964acae4832	5f2e4e8be3a4d9432b13c385	59	57	1	8	HA_MC	1	0	1
5f4d2fcf00000964acae4832	5f2e4e36e3a4d9432b130613	24	22	2	7	HA_MCMS	1	0	1
5f4d2fcf00000964acae4832	5f2e4e22e3a4d9432b12dd31	44	42	4	3	AG_FITB	1	0	1
5f4d2fcf00000964acae4832	5f2e4e22e3a4d9432b12dd53	44	42	4	4	AG_FITB	1	0	0
5f4d2fcf00000964acae4832	5f2e4e87e3a4d9432b13b98c	44	42	4	8	HA_MC	1	0	1
5f4d2fcf00000964acae4832	5f2e4e75e3a4d9432b1394c8	75	73	3	3	HA_MC	1	0	1
5f4d2fcf00000964acae4832	5f2e4e75e3a4d9432b139516	75	73	3	4	HA_MC	1	0	1
5f4d2fcf00000964acae4832	5f2e4e76e3a4d9432b1396aa	75	73	3	10	HA_MC	1	0	1
5f4d2fcf00000964acae4832	5f2e4e9de3a4d9432b13eb62	53	51	5	3	AG_FITB	1	0	1
5f4d2fcf00000964acae4832	5f2e4e9de3a4d9432b13ebca	53	51	5	7	AG_FITB	1	0	1
5f4d2fcf00000964acae4832	5f2e4e9de3a4d9432b13ec32	53	51	5	11	AG_FITB	1	0	0
5f4d2fcf00000964acae4832	5f2e4e9de3a4d9432b13ec54	53	51	5	12	AG_FITB	1	0	1
5f4d2fcf00000964acae4832	5f2e4e9de3a4d9432b13ecde	53	51	5	17	AG_FITB	1	0	1
5f4d2fcf00000964acae4832	5f2e4e9de3a4d9432b13ed00	53	51	5	18	AG_FITB	1	0	1
5f4d2fcf00000964acae4832	5f2e4e9de3a4d9432b13ed22	53	51	5	19	AG_FITB	1	0	0
5f4d2fcf00000964acae4832	5f2e4e9ee3a4d9432b13ed58	53	51	5	21	AG_Matching	1	0	1
5f4d2fcf00000964acae4832	5f2e4e9ee3a4d9432b13ed68	53	51	5	22	AG_Matching	1	0	1
