student	question	course_page_number	unit_page_number	module_page_number	page_question_number	question_type	answered	correct	persisted
600b29e71e99fb7d9decf12b	5fc5eae6807e2b24830a6b5c	15	13	5	11	HA_MCMS	1	0	1
600b29e71e99fb7d9decf12b	5fc5eae6807e2b24830a6bba	15	13	5	12	HA_Pulldown	1	0	1
600b29e71e99fb7d9decf12b	5fc5eae6807e2b24830a6c6a	15	13	5	15	HA_MCMS	1	0	1
600b29e71e99fb7d9decf12b	5fc5eae7807e2b24830a6cc8	15	13	5	16	HA_MC	1	0	1
600b29e71e99fb7d9decf12b	5fc5eae7807e2b24830a6d70	15	13	5	18	HA_Pulldown	1	0	1
600b29e71e99fb7d9decf12b	5fc5eaea807e2b24830a779a	14	12	4	8	HA_FITB	1	0	1
600b29e71e99fb7d9decf12b	5fc5eaea807e2b24830a77c2	14	12	4	9	HA_FITB	1	0	1
600b29e71e99fb7d9decf12b	5fc5eaea807e2b24830a7802	14	12	4	10	HA_MCMS	1	0	1
600b29e71e99fb7d9decf12b	5fc5eaea807e2b24830a7842	14	12	4	11	HA_MC	1	0	1
600b29e71e99fb7d9decf12b	5fc5eaea807e2b24830a7896	14	12	4	12	HA_Pulldown	1	0	1
600b29e71e99fb7d9decf12b	5fc5eaea807e2b24830a7948	14	12	4	14	HA_MCMS	1	0	1
600b29e71e99fb7d9decf12b	5fc5eaeb807e2b24830a799a	14	12	4	15	HA_MC	1	0	1
600b29e71e99fb7d9decf12b	5fc5ead8807e2b24830a3e23	150	148	3	0	AG_FITB	1	0	1
600b29e71e99fb7d9decf12b	5fc5ead8807e2b24830a3e49	150	148	3	1	AG_Matching	1	0	1
600b29e71e99fb7d9decf12b	5fc5ead8807e2b24830a3e5d	150	148	3	2	AG_Matching	1	0	1
600b29e71e99fb7d9decf12b	5fc5ead8807e2b24830a3f1b	150	148	3	8	HA_Pulldown	1	0	1
600b29e71e99fb7d9decf12b	5fc5ead8807e2b24830a3fa1	150	148	3	10	HA_FITB	1	0	1
600b29e71e99fb7d9decf12b	5fc5ead8807e2b24830a3fd5	150	148	3	11	HA_MC	1	0	1
600b29e71e99fb7d9decf12b	5fc5ead8807e2b24830a4009	150	148	3	12	HA_MC	1	0	1
600b29e71e99fb7d9decf12b	5fc5ead9807e2b24830a4049	150	148	3	13	HA_Pulldown	1	0	1
600b29e71e99fb7d9decf12b	5fc5eaaf807e2b248309be73	130	128	5	13	HA_Pulldown	1	0	1
600b29e71e99fb7d9decf12b	5fc5eab0807e2b248309bf1b	130	128	5	15	HA_MC	1	0	1
600b29e71e99fb7d9decf12b	5fc5eab0807e2b248309bf97	130	128	5	17	HA_Pulldown	1	0	1
